epoch,price
1700000000,1000.07534
1700000001,999.96361
1700000002,999.90923
1700000003,999.93887
1700000004,999.85757
1700000005,999.85180
1700000006,999.86613
1700000007,999.79964
1700000008,999.69492
1700000009,999.71043
1700000010,999.78989
1700000011,999.73813
1700000012,999.71144
1700000013,999.84309
1700000014,999.79838
1700000015,999.75725
1700000016,999.94958
1700000017,999.82709
1700000018,999.89081
1700000019,999.73052
1700000020,999.68276
1700000021,999.80306
1700000022,999.90077
1700000023,999.82868
1700000024,999.79239
1700000025,999.79880
1700000026,999.69816
1700000027,999.74233
1700000028,999.92054
1700000029,999.81212
1700000030,999.65360
1700000031,999.67666
1700000032,999.66713
1700000033,999.81147
1700000034,999.79864
1700000035,999.79459
1700000036,999.77932
1700000037,999.70007
1700000038,999.75392
1700000039,999.64799
1700000040,999.74131
1700000041,999.74198
1700000042,999.78227
1700000043,999.73805
1700000044,999.66443
1700000045,999.80845
1700000046,999.84594
1700000047,999.94250
1700000048,999.95747
1700000049,1000.16640
1700000050,1000.19500
1700000051,1000.11261
1700000052,1000.17409
1700000053,1000.20812
1700000054,1000.02242
1700000055,1000.01315
1700000056,1000.09157
1700000057,1000.15566
1700000058,1000.12851
1700000059,1000.03150
1700000060,1000.07080
1700000061,999.97913
1700000062,1000.08511
1700000063,1000.06061
1700000064,999.98662
1700000065,999.94121
1700000066,999.87634
1700000067,999.83148
1700000068,999.77257
1700000069,999.74225
1700000070,999.76137
1700000071,999.80912
1700000072,999.72030
1700000073,999.64417
1700000074,999.60984
1700000075,999.61494
1700000076,999.62276
1700000077,999.45924
1700000078,999.59556
1700000079,999.52435
1700000080,999.66971
1700000081,999.56153
1700000082,999.48439
1700000083,999.46428
1700000084,999.44646
1700000085,999.38474
1700000086,999.44353
1700000087,999.29937
1700000088,999.38377
1700000089,999.31833
1700000090,999.41846
1700000091,999.38576
1700000092,999.27384
1700000093,999.30977
1700000094,999.48818
1700000095,999.48399
1700000096,999.49291
1700000097,999.46096
1700000098,999.39083
1700000099,999.33073
1700000100,999.22507
1700000101,999.11235
1700000102,999.11802
1700000103,999.24763
1700000104,999.28948
1700000105,999.32738
1700000106,999.34727
1700000107,999.27814
1700000108,999.29296
1700000109,999.25924
1700000110,999.33424
1700000111,999.43266
1700000112,999.53296
1700000113,999.56226
1700000114,999.64576
1700000115,999.59278
1700000116,999.58492
1700000117,999.56805
1700000118,999.49581
1700000119,999.41387
1700000120,999.34307
1700000121,999.30646
1700000122,999.15262
1700000123,999.31616
1700000124,999.33245
1700000125,999.33625
1700000126,999.38589
1700000127,999.37348
1700000128,999.41265
1700000129,999.45128
1700000130,999.51025
1700000131,999.33163
1700000132,999.41501
1700000133,999.42703
1700000134,999.47690
1700000135,999.51386
1700000136,999.53490
1700000137,999.64840
1700000138,999.61867
1700000139,999.65943
1700000140,999.63676
1700000141,999.63624
1700000142,999.82835
1700000143,999.96963
1700000144,999.99322
1700000145,1000.06482
1700000146,1000.04721
1700000147,999.89550
1700000148,999.93799
1700000149,999.91410
1700000150,999.81668
1700000151,999.63229
1700000152,999.74453
1700000153,999.78739
1700000154,999.82871
1700000155,999.76825
1700000156,999.76778
1700000157,999.87561
1700000158,999.82924
1700000159,999.84682
1700000160,999.76596
1700000161,999.78053
1700000162,999.69401
1700000163,999.65389
1700000164,999.62557
1700000165,999.69524
1700000166,999.72707
1700000167,999.67525
1700000168,999.66350
1700000169,999.65880
1700000170,999.65497
1700000171,999.58268
1700000172,999.64499
1700000173,999.66339
1700000174,999.67565
1700000175,999.87319
1700000176,999.83370
1700000177,999.88649
1700000178,999.76367
1700000179,999.91366
1700000180,999.83930
1700000181,999.75628
1700000182,999.73928
1700000183,999.66185
1700000184,999.56217
1700000185,999.62161
1700000186,999.67389
1700000187,999.67440
1700000188,999.64446
1700000189,999.69552
1700000190,999.64479
1700000191,999.58548
1700000192,999.65898
1700000193,999.58587
1700000194,999.51616
1700000195,999.55774
1700000196,999.53292
1700000197,999.45344
1700000198,999.44046
1700000199,999.41937
1700000200,999.36101
1700000201,999.38188
1700000202,999.43557
1700000203,999.51752
1700000204,999.41513
1700000205,999.42334
1700000206,999.42906
1700000207,999.26315
1700000208,999.19400
1700000209,999.19635
1700000210,999.05391
1700000211,999.08398
1700000212,999.18748
1700000213,999.08400
1700000214,999.20130
1700000215,999.48703
1700000216,999.46464
1700000217,999.43985
1700000218,999.40384
1700000219,999.17121
1700000220,999.07290
1700000221,999.14262
1700000222,999.12023
1700000223,999.17095
1700000224,999.16983
1700000225,999.16445
1700000226,999.20773
1700000227,999.11971
1700000228,999.15260
1700000229,999.17581
1700000230,999.07955
1700000231,998.94835
1700000232,998.90683
1700000233,999.12462
1700000234,999.25146
1700000235,999.34384
1700000236,999.31759
1700000237,999.33751
1700000238,999.32392
1700000239,999.41074
1700000240,999.45255
1700000241,999.29911
1700000242,999.36401
1700000243,999.43616
1700000244,999.39304
1700000245,999.33307
1700000246,999.37786
1700000247,999.33127
1700000248,999.35416
1700000249,999.35685
1700000250,999.31388
1700000251,999.22106
1700000252,999.39939
1700000253,999.33708
1700000254,999.35686
1700000255,999.34428
1700000256,999.34361
1700000257,999.21924
1700000258,999.14849
1700000259,999.04388
1700000260,999.13754
1700000261,999.07190
1700000262,999.00274
1700000263,999.07415
1700000264,999.10201
1700000265,999.20471
1700000266,999.25042
1700000267,999.25297
1700000268,999.18229
1700000269,999.30459
1700000270,999.29029
1700000271,999.21901
1700000272,999.20215
1700000273,999.18621
1700000274,999.30297
1700000275,999.49721
1700000276,999.47750
1700000277,999.55521
1700000278,999.49161
1700000279,999.47161
1700000280,999.41294
1700000281,999.42108
1700000282,999.46912
1700000283,999.48415
1700000284,999.45380
1700000285,999.44937
1700000286,999.39078
1700000287,999.43159
1700000288,999.40011
1700000289,999.41880
1700000290,999.49496
1700000291,999.44572
1700000292,999.56393
1700000293,999.37984
1700000294,999.32913
1700000295,999.40513
1700000296,999.37885
1700000297,999.29868
1700000298,999.25693
1700000299,999.38039
1700000300,999.52194
1700000301,999.41129
1700000302,999.35699
1700000303,999.30150
1700000304,999.41422
1700000305,999.39605
1700000306,999.42686
1700000307,999.44039
1700000308,999.44036
1700000309,999.41194
1700000310,999.49189
1700000311,999.49584
1700000312,999.40918
1700000313,999.39878
1700000314,999.29297
1700000315,999.30054
1700000316,999.26449
1700000317,999.18873
1700000318,999.02697
1700000319,999.20288
1700000320,999.19338
1700000321,999.33167
1700000322,999.26322
1700000323,999.29479
1700000324,999.44179
1700000325,999.50415
1700000326,999.45282
1700000327,999.28781
1700000328,999.17306
1700000329,999.20907
1700000330,999.26819
1700000331,999.32296
1700000332,999.32919
1700000333,999.35181
1700000334,999.40465
1700000335,999.38673
1700000336,999.41894
1700000337,999.46120
1700000338,999.38873
1700000339,999.45849
1700000340,999.59765
1700000341,999.79260
1700000342,999.83769
1700000343,999.83285
1700000344,999.73259
1700000345,999.79989
1700000346,999.86715
1700000347,999.80210
1700000348,999.86332
1700000349,999.82817
1700000350,999.73417
1700000351,999.73509
1700000352,999.70922
1700000353,999.66211
1700000354,999.61875
1700000355,999.58297
1700000356,999.47286
1700000357,999.64584
1700000358,999.76480
1700000359,999.67723
1700000360,999.72145
1700000361,999.73147
1700000362,999.72542
1700000363,999.86538
1700000364,999.92337
1700000365,999.83488
1700000366,999.80602
1700000367,999.66379
1700000368,999.69456
1700000369,999.70818
1700000370,999.72360
1700000371,999.70695
1700000372,999.71055
1700000373,999.73331
1700000374,999.88679
1700000375,999.90158
1700000376,999.87861
1700000377,999.92002
1700000378,999.98943
1700000379,1000.08348
1700000380,1000.17651
1700000381,1000.15791
1700000382,1000.23476
1700000383,1000.17973
1700000384,1000.07195
1700000385,1000.01799
1700000386,1000.06372
1700000387,999.93698
1700000388,1000.06938
1700000389,1000.06149
1700000390,1000.10659
1700000391,1000.07626
1700000392,999.97084
1700000393,999.94698
1700000394,999.98901
1700000395,999.90741
1700000396,999.92764
1700000397,999.85091
1700000398,999.71717
1700000399,999.63649
1700000400,999.67130
1700000401,999.55956
1700000402,999.61027
1700000403,999.61035
1700000404,999.54909
1700000405,999.54645
1700000406,999.69177
1700000407,999.75532
1700000408,999.81895
1700000409,999.79511
1700000410,999.67296
1700000411,999.75257
1700000412,999.85843
